text,intent
मेरी फसल में कीड़ा लग गया है क्या करूं?,disease
टमाटर के पत्ते पीले पड़ रहे हैं कोई दवाई बताओ,disease
मेरी गेहूं की फसल में झुलसा रोग आ गया है,disease
बाजरे में माहू कीड़ा लग गया है उपाय बताओ,disease
मिर्च के पत्तों पर सफेद धब्बे आ गए हैं,disease
मेरी सरसों में पाउडरी मिल्ड्यू हो गई है,disease
chilli mein thrips ka attack ho gaya hai kya karein?,disease
मूंगफली की जड़ें सड़ रही हैं कौन सी दवाई डालूं?,disease
मेरे खेत में टमाटर की फसल में फंगस लग गई है,disease
wheat mein rust disease aa gayi hai spray kya karein?,disease
भाई म्हारी मक्का री फसल में तना सड़न लाग री है,disease
प्याज के पत्ते मुड़ रहे हैं और पीले हो रहे हैं,disease
cotton mein whitefly bahut zyada ho gayi hai,disease
मेरी अरहर में विल्ट रोग आ गया है क्या करूं?,disease
आलू की फसल में अर्ली ब्लाइट दिख रही है,disease
म्हारी बाजरा री फसल में डाउनी मिल्ड्यू लाग री है,disease
tomato mein mosaic virus ke symptoms dikh rahe hain,disease
मेरे बैंगन के पत्तों पर भूरे धब्बे हैं,disease
सोयाबीन में पत्ती धब्बा रोग आ गया है,disease
groundnut mein tikka disease ho gayi hai kya karein?,disease
भाई म्हारी गेहूं री फसल में पीला रतुआ लाग रयो है,disease
मेरी मूंग की फसल में पत्ती मोड़क रोग है,disease
chana mein wilt disease aa gayi hai upay batao,disease
मिर्च के फल सड़ रहे हैं कौन सी बीमारी है?,disease
मेरी धनिया की फसल में स्टेम रॉट हो गई है,disease
bajra mein ergot disease ka attack hai,disease
म्हारी कपास री फसल में गुलाबी सुंडी लाग री है,disease
मेरे टमाटर में बैक्टीरियल विल्ट आ गई है,disease
rice mein blast disease ho gayi hai kya spray karein?,disease
मेरी मक्का में तना छेदक कीड़ा लग गया है,disease
सरसों के पत्तों पर काले धब्बे आ गए हैं,disease
mustard mein aphid ka bahut zyada attack hai,disease
भाई म्हारी चना री फसल में जड़ सड़न लाग री है,disease
