text,intent
प्रणाम जी,greeting
Pranam bhai,greeting
Hey there,greeting
Howdy,greeting
Good night bhai,greeting
Suprabhat ji,greeting
राम राम काका,greeting
Khamma Ghani bhaisa,greeting
Jai Shri Krishna,greeting
Jai Bajrang Bali,greeting
Radhe Radhe,greeting
Jai Mata Di,greeting
Vanakkam,greeting
Namaskar ji kaise hain aap,greeting
Kem cho bhai,greeting
खम्मा घणी दादा,greeting
राम राम ताऊ जी,greeting
नमस्ते दादा जी,greeting
Hello sir good morning,greeting
Hi there Pragati,greeting
Jai Hind jai Bharat,greeting
जय जवान जय किसान,greeting
Good morning ji aaj ka din shubh ho,greeting
Shubh Prabhat bhai sahab,greeting
नमस्ते भाई खेत कैसा है,greeting
Ram Ram bhai fasal kaisi hai is baar,greeting
Khamma Ghani sa bhai khet mein kya chal raha hai,greeting
Hello bhai aaj khet mein jaana hai,greeting
नमस्ते जी आज सिंचाई करनी है,greeting
Jai Shri Ram bhai mausam ke baare mein poochna tha,greeting
Good evening ji aaj ki fasal kaisi rahi,greeting
राम राम भाई बीज के बारे में पूछना था,greeting
Namaste bhai soil test karwana hai,greeting
Hi bhai drip irrigation ke baare mein batao,greeting
खम्मा घणी भाई आज मंडी जाना है,greeting
Jai Hind bhai kisan ki baat karni thi,greeting
नमस्ते जी PM Kisan ka paisa aaya kya,greeting
Good morning bhai aaj spray karna hai,greeting
Ram Ram sa bhai khad ke baare mein poochna tha,greeting
Khamma Ghani ji namaskar,greeting
Hello Pragati bhai mujhe kuch janna hai,greeting
नमस्ते भाई ट्रैक्टर के बारे में पूछना था,greeting
Jai Shri Ram bhai beej kahan milega,greeting
Good afternoon bhai khet ka kya haal hai,greeting
राम राम जी आज बुवाई करनी है,greeting
Namaste ji fasal bima ke baare mein batao,greeting
Hi Pragati AI aaj kya kaam aayega,greeting
खम्मा घणी सा आज खेत में पानी देना है,greeting
Jai Hind bhai aaj ka mausam kaisa rahega,greeting
नमस्ते जी मेरी फसल में बीमारी लग गई है,greeting
Good morning bhai kisan yojana ke baare mein batao,greeting
Ram Ram bhai aaj harvesting karni hai,greeting
Khamma Ghani bhai mujhe madad chahiye,greeting
Hello ji aaj ka temperature kitna hai,greeting
नमस्ते भाई मेरे खेत में कीड़े लग गए हैं,greeting
Jai Shri Ram bhai sarson ki baat karni thi,greeting
Good evening bhai aaj mandi mein kya bhav hai,greeting
राम राम सा भाई आज बारिश होगी क्या,greeting
Namaste bhai gehu ki variety batao,greeting
Hi bhai Khamma Ghani sa,greeting
खम्मा घणी जी प्रणाम,greeting
Jai Hind bhai Jai Shri Ram,greeting
नमस्ते जी आज खाद डालनी है,greeting
Good morning bhai Khamma Ghani,greeting
Ram Ram bhai aaj khet mein kya karein,greeting
Namaste Pragati bhai kaise ho,greeting
Hello bhai good afternoon kaise ho,greeting
खम्मा घणी भाई फसल बीमा पूछना था,greeting
Jai Shri Ram bhai aaj ka din shubh ho,greeting
Good evening ji Jai Hind,greeting
राम राम भाई प्रणाम,greeting
Namaste ji Jai Shri Ram,greeting
Hi bhai Jai Shri Krishna,greeting
खम्मा घणी सा राम राम,greeting
Good morning ji Jai Hind,greeting
नमस्ते जी शुभ संध्या,greeting
Ram Ram bhai Jai Hind,greeting
Hello bhai Radhe Radhe,greeting
Khamma Ghani bhai Jai Shri Ram,greeting
नमस्ते भाई शुभ प्रभात,greeting
Good morning bhai pranam,greeting
Jai Hind bhai Khamma Ghani,greeting
राम राम जी शुभ प्रभात,greeting
Namaste bhai good morning,greeting
Hi ji Jai Hind Jai Bharat,greeting
खम्मा घणी भाई प्रणाम जी,greeting
Good evening bhai Jai Shri Ram,greeting
नमस्ते जी Jai Hind,greeting
Ram Ram bhai Khamma Ghani sa,greeting
Hello bhai shubh prabhat,greeting
Jai Shri Ram bhai good morning,greeting
नमस्ते भाई राम राम सा,greeting
Good morning ji Khamma Ghani,greeting
Namaste bhai Jai Hind,greeting
Hi bhai pranam ji,greeting
खम्मा घणी सा good morning bhai,greeting
Jai Hind bhai good evening,greeting
राम राम भाई Jai Shri Ram,greeting
Namaste ji Khamma Ghani sa,greeting
Hello bhai Jai Bajrang Bali,greeting
