000001.wav|01_Disease_Dhundhari
000002.wav|Pragati AI Rajasthan Dataset - File 1 (Disease - Dhundhari)
000003.wav|02_Pest_Dhundhari
000004.wav|Pragati AI Rajasthan Dataset - File 2 (Pest - Dhundhari)
000005.wav|03_Crop_Dhundhari
000006.wav|Pragati AI Rajasthan Dataset - File 3 (Crop - Dhundhari)
000007.wav|04_Soil_Dhundhari
000008.wav|Pragati AI Rajasthan Dataset - File 4 (Soil - Dhundhari)
000009.wav|05_Weather_Dhundhari
000010.wav|Pragati AI Rajasthan Dataset - File 5 (Weather - Dhundhari)
000011.wav|06_Government_Dhundhari
000012.wav|Pragati AI Rajasthan Dataset - File 6 (Government - Dhundhari)
000013.wav|07_Market_Dhundhari
000015.wav|08_KVK_Dhundhari
000014.wav|Pragati AI Rajasthan Dataset - File 7 (Market - Dhundhari)
000017.wav|09_Fertilizer_Dhundhari
000016.wav|Pragati AI Rajasthan Dataset - File 8 (KVK - Dhundhari)
000018.wav|Pragati AI Rajasthan Dataset - File 9 (Fertilizer - Dhundhari)
000019.wav|10_Seed_Dhundhari
000021.wav|11_FarmDiary_Dhundhari
000020.wav|Pragati AI Rajasthan Dataset - File 10 (Seed - Dhundhari)
000022.wav|Pragati AI Rajasthan Dataset - File 11 (Farm Diary - Dhundhari)
000023.wav|12_General_Conversation_Dhundhari
000024.wav|Pragati AI Rajasthan Dataset - File 12 (General Conversation - Dhundhari)
