000001.wav|01_Disease_Shekhawati
000002.wav|Pragati AI Rajasthan Dataset - File 1 (Disease - Shekhawati)
000003.wav|02_Pest_Shekhawati
000004.wav|Pragati AI Rajasthan Dataset - File 2 (Pest - Shekhawati)
000005.wav|03_Crop_Shekhawati
000006.wav|Pragati AI Rajasthan Dataset - File 3 (Crop - Shekhawati)
000007.wav|04_Soil_Shekhawati
000008.wav|Pragati AI Rajasthan Dataset - File 4 (Soil - Shekhawati)
000009.wav|05_Weather_Shekhawati
000010.wav|Pragati AI Rajasthan Dataset - File 5 (Weather - Shekhawati)
000011.wav|06_Government_Shekhawati
000012.wav|Pragati AI Rajasthan Dataset - File 6 (Government - Shekhawati)
000013.wav|07_Market_Shekhawati
000014.wav|Pragati AI Rajasthan Dataset - File 7 (Market - Shekhawati)
000015.wav|08_KVK_Shekhawati
000017.wav|09_Fertilizer_Shekhawati
000016.wav|Pragati AI Rajasthan Dataset - File 8 (KVK - Shekhawati)
000019.wav|10_Seed_Shekhawati
000018.wav|Pragati AI Rajasthan Dataset - File 9 (Fertilizer - Shekhawati)
000020.wav|Pragati AI Rajasthan Dataset - File 10 (Seed - Shekhawati)
000021.wav|11_FarmDiary_Shekhawati
000023.wav|12_General_Conversation_Shekhawati
000022.wav|Pragati AI Rajasthan Dataset - File 11 (Farm Diary - Shekhawati)
000024.wav|Pragati AI Rajasthan Dataset - File 12 (General Conversation - Shekhawati)
