text,intent
आप कौन हैं,general
Aap kya kaam karte ho,general
Mujhe is app ki jankari do,general
Can you help me with farming,general
इस ऐप में क्या क्या मिलता है,general
Yeh app kaise kaam karta hai,general
Pragati AI ke baare mein batao,general
आप मेरे लिए क्या कर सकते हैं,general
Tell me about this app features,general
फसल की बीमारी की फोटो कैसे भेजें,general
Disease photo kaise bhejein AI ko,general
मेरे लिए कौन सी फसल सही रहेगी,general
Mere khet ke liye crop suggest karo,general
मिट्टी परीक्षण रिपोर्ट कैसे देखें,general
Soil test report app mein kaise dekhein,general
आज का मंडी भाव कहां देखें,general
Aaj ka mandi rate app mein kahan hai,general
PM Kisan yojana app mein kaise dekhein,general
सरकारी योजनाओं की लिस्ट कहां है,general
माइक से बात कैसे करें,general
Mic se AI se kaise baat karein,general
यह AI कितना सटीक जवाब देता है,general
AI kitna accurate hai is app mein,general
ऐप की सेटिंग कैसे खोलें,general
App ki setting kaise open karein,general
अपना नाम और जिला कैसे बदलें,general
Apna naam aur jila app mein kaise badlein,general
मराठी में बात कर सकते हो क्या,general
Marwari mein baat karna hai mujhe,general
ऐप में राजस्थानी भाषा कैसे चुनें,general
How to switch language to English in app,general
अपनी राय कैसे दें इस ऐप के बारे में,general
App ke baare mein apni rai kaise dein,general
हेल्पलाइन नंबर क्या है,general
Helpline number kya hai Pragati AI ka,general
ऐप का मेनू कैसे खोलें,general
App ka menu kahan hai,general
इस ऐप में कितने सेक्शन हैं,general
Kitne sections hain is app mein,general
कैमरे से फसल की जांच कैसे करें,general
Camera se fasal ki jaanch kaise karein,general
खेत का नक्शा कैसे जोड़ें,general
Khet ka naksha app mein kaise add karein,general
नया अकाउंट बनाने में दिक्कत आ रही है,general
New account banane mein problem aa rahi hai,general
OTP नहीं आ रहा है क्या करूं,general
OTP nahi aa raha hai kya karein,general
ऐप क्रैश हो रहा है बार बार,general
App baar baar crash ho raha hai,general
पुश नोटिफिकेशन कैसे चालू करें,general
Push notification kaise on karein,general
GPS लोकेशन कैसे ऑन करें,general
GPS location on kaise karein app ke liye,general
Play Store पर यह ऐप कैसे खोजें,general
Play Store mein Pragati AI kaise dhundhein,general
क्या इस ऐप में कोई सब्सक्रिप्शन है,general
Is app mein koi paid subscription hai kya,general
मेरी जानकारी किसके साथ शेयर होती है,general
Meri personal jankari kahan jaati hai,general
बिना इंटरनेट के ऐप चलेगा क्या,general
Internet nahi hai to app chalega kya,general
बोलकर सवाल पूछने का तरीका बताओ,general
Bolkar sawaal poochne ka tarika kya hai,general
क्या ऐप हरियाणवी में भी काम करता है,general
Haryanvi mein bhi kaam karta hai kya yeh app,general
ऐप में कितनी भाषाएं उपलब्ध हैं,general
App mein available languages kaun kaun si hain,general
फसल की तस्वीर खींचकर कैसे भेजें,general
Fasal ki tasveer kheenchkar kaise bhejein,general
चैट हिस्ट्री कैसे डिलीट करें,general
Chat history delete kaise karein,general
ऐप का नया वर्जन कब आएगा,general
App ka naya version kab aayega,general
प्रोफाइल फोटो कैसे लगाएं,general
Profile photo kaise lagayein app mein,general
किसान आईडी कैसे बनाएं,general
Kisan ID kaise banayein is app mein,general
पुरानी चैट कैसे देखें,general
Purani chat kaise dekhein app mein,general
ऐप में साइन अप कैसे करें,general
Sign up kaise karein Pragati AI mein,general
आधार से लॉगिन हो सकता है क्या,general
Aadhar se login ho sakta hai kya,general
ऐप में अपना खेत कैसे जोड़ें,general
Apna khet app mein kaise add karein,general
क्या यह ऐप सभी किसानों के लिए है,general
Kya yeh app chote kisan ke liye bhi hai,general
इस ऐप से खेती में कितना फायदा होगा,general
Pragati AI se kheti mein kya badlaav aayega,general
ऐप में बग रिपोर्ट कैसे करें,general
Bug report kaise karein is app mein,general
जवाब गलत आया तो क्या करूं,general
Wrong answer aaya to kaise report karein,general
ऐप में लाइट मोड कैसे करें,general
Light mode kaise enable karein app mein,general
Pragati AI ka customer care number kya hai,general
यह ऐप किस कंपनी ने बनाया है,general
Which company developed Pragati AI,general
ऐप में फसल डायरी कैसे देखें,general
Fasal diary feature kahan hai app mein,general
