000001.wav|01_Disease_Hadoti
000002.wav|Pragati AI Rajasthan Dataset - File 1 (Disease - Hadoti)
000003.wav|02_Pest_Hadoti
000004.wav|Pragati AI Rajasthan Dataset - File 2 (Pest - Hadoti)
000005.wav|03_Crop_Hadoti
000006.wav|Pragati AI Rajasthan Dataset - File 3 (Crop - Hadoti)
000007.wav|04_Soil_Hadoti
000008.wav|Pragati AI Rajasthan Dataset - File 4 (Soil - Hadoti)
000009.wav|05_Weather_Hadoti
000010.wav|Pragati AI Rajasthan Dataset - File 5 (Weather - Hadoti)
000011.wav|06_Government_Hadoti
000012.wav|Pragati AI Rajasthan Dataset - File 6 (Government - Hadoti)
000013.wav|07_Market_Hadoti
000014.wav|Pragati AI Rajasthan Dataset - File 7 (Market - Hadoti)
000015.wav|08_KVK_Hadoti
000017.wav|09_Fertilizer_Hadoti
000016.wav|Pragati AI Rajasthan Dataset - File 8 (KVK - Hadoti)
000018.wav|Pragati AI Rajasthan Dataset - File 9 (Fertilizer - Hadoti)
000019.wav|10_Seed_Hadoti
000021.wav|11_FarmDiary_Hadoti
000020.wav|Pragati AI Rajasthan Dataset - File 10 (Seed - Hadoti)
000022.wav|Pragati AI Rajasthan Dataset - File 11 (Farm Diary - Hadoti)
000023.wav|12_General_Conversation_Hadoti
000024.wav|Pragati AI Rajasthan Dataset - File 12 (General Conversation - Hadoti)
