text,intent
मेरी पूरी फसल खराब हो गई,emergency
तुरंत मदद चाहिए,emergency
म्हारी सारी फसल बर्बाद हो गई बचाओ,emergency
SOS meri fasal mar rahi hai,emergency
खेत में आग लग गई है अभी,emergency
khet mein aag lag gayi hai turant help chahiye,emergency
ओले पड़ने से पूरी फसल नष्ट हो गई,emergency
hailstorm se meri poori fasal barbad ho gayi,emergency
बाढ़ आ गई है खेत में पानी भर गया,emergency
flood aa gaya hai khet mein kya karein,emergency
मेरे खेत में टिड्डी दल आ गया है,emergency
tiddi dal ne mera poora khet kha liya,emergency
फसल अचानक सूख रही है क्या करूं,emergency
fasal achanak sukh rahi hai emergency hai,emergency
my entire wheat crop is dying please help,emergency
म्हारे खेत में भयंकर कीड़ा लग गयो है,emergency
pest attack bahut zyada ho gaya hai turant spray batao,emergency
बीमारी बहुत तेजी से फैल रही है पूरे खेत में,emergency
disease spreading very fast in my field help me now,emergency
सूखे से फसल मर रही है पानी नहीं है,emergency
drought se meri fasal khatam ho rahi hai,emergency
जड़ें सड़ रही हैं पूरी फसल गिर रही है,emergency
root rot emergency hai meri fasal bachao,emergency
वायरस फैल गया है पूरे खेत में तुरंत उपाय बताओ,emergency
virus outbreak ho gaya hai khet mein kya karein,emergency
नीलगाय ने पूरा खेत उजाड़ दिया,emergency
neelgai ne mera poora khet barbad kar diya,emergency
जंगली सूअर ने फसल नष्ट कर दी रात को,emergency
wild boar attacked my crop last night total loss,emergency
म्हारी फसल में रात भर में सब पत्ते गिर गए,emergency
saari pattiyaan ek raat mein gir gayi kya hua,emergency
फसल पीली पड़ रही है और मर रही है तुरंत बताओ,emergency
fasal peeli pad rahi hai aur mar rahi hai SOS,emergency
crop is completely yellow and dying urgent help needed,emergency
म्हारे खेत में पानी नहीं है फसल मर जाएगी,emergency
emergency irrigation chahiye abhi fasal sukh rahi hai,emergency
बोरवेल बंद हो गया फसल को पानी नहीं मिल रहा,emergency
borewell band ho gaya fasal ko paani nahi mil raha,emergency
नहर का पानी बंद हो गया फसल सूख रही है,emergency
canal water band ho gaya emergency irrigation kaise karein,emergency
मेरी मक्का में फॉल आर्मीवर्म का भयंकर हमला है,emergency
fall armyworm ne poori maize fasal kha li hai,emergency
कपास में गुलाबी सुंडी का बहुत बड़ा हमला है,emergency
pink bollworm emergency in cotton crop please help,emergency
म्हारी सरसों में माहू इतना ज्यादा हो गया है कि फसल दिख नहीं रही,emergency
aphid attack bahut bada hai sarson mein turant spray batao,emergency
टमाटर की पूरी फसल में लेट ब्लाइट फैल गई है,emergency
late blight spreading rapidly in tomato field emergency,emergency
आलू की फसल रात भर में काली पड़ गई,emergency
potato crop turned black overnight what to do urgent,emergency
म्हारे खेत में ओले पड़े और सब कुछ बर्बाद हो गया,emergency
ओलावृष्टि से पूरी फसल नष्ट हो गई मुआवजा कैसे मिलेगा,emergency
hailstorm destroyed everything compensation kaise milega,emergency
बाढ़ के पानी में खेत डूब गया फसल बचाने का उपाय बताओ,emergency
khet mein paani bhar gaya fasal bachane ka upay batao,emergency
waterlogging emergency meri fasal dub rahi hai,emergency
मेरी गेहूं में पीला रतुआ बहुत तेजी से फैल रहा है,emergency
yellow rust spreading fast in wheat emergency spray batao,emergency
म्हारी फसल में अचानक सफेद मक्खी का हमला हो गया,emergency
whitefly ka bada attack ho gaya hai turant kya karein,emergency
फसल में जड़ गलन हो रही है पौधे गिर रहे हैं,emergency
root rot se paudhe gir rahe hain emergency hai,emergency
मेरे खेत में आग लगी है फसल जल रही है,emergency
fire in my field crop is burning help immediately,emergency
म्हारे खेत में बिजली गिरी और आग लग गई,emergency
lightning struck my field and fire started emergency,emergency
फसल में वायरस फैल गया है तुरंत दवाई बताओ,emergency
virus fasal mein fail gaya hai emergency pesticide batao,emergency
मेरी पूरी मूंग की फसल में पीला मोजेक वायरस फैल गया,emergency
yellow mosaic virus spreading in moong emergency help,emergency
म्हारी फसल में कल से अचानक पत्ते मुड़ने लगे हैं,emergency
leaf curl virus emergency meri fasal barbad ho rahi hai,emergency
फसल में खाद की कमी से पौधे मर रहे हैं तुरंत बताओ,emergency
fertilizer deficiency emergency paudhe mar rahe hain,emergency
emergency fertilizer recommendation chahiye abhi,emergency
म्हारी फसल में अचानक सब पत्ते पीले हो गए,emergency
sab patte achanak peele ho gaye emergency kya karein,emergency
all leaves turned yellow suddenly urgent help needed,emergency
मेरे खेत में सूखा पड़ गया है फसल बचाओ,emergency
drought emergency mera khet sukh raha hai,emergency
म्हारे खेत में पानी नहीं है 10 दिन से बारिश नहीं हुई,emergency
10 din se baarish nahi hui fasal mar rahi hai,emergency
no rain for 15 days crop dying emergency irrigation needed,emergency
फसल में कीड़े इतने हो गए हैं कि दिखाई नहीं देती,emergency
pest infestation bahut bada hai poori fasal khatam ho rahi hai,emergency
massive pest attack on my crop urgent pesticide needed,emergency
म्हारी फसल में रात को जानवर घुस गए सब खा गए,emergency
animals destroyed my crop overnight total loss,emergency
नीलगाय और सूअर ने मिलकर पूरी फसल बर्बाद कर दी,emergency
animal attack emergency meri fasal bachao,emergency
फसल में फंगस इतनी तेजी से फैल रही है कि रोक नहीं पा रहा,emergency
fungus spreading uncontrollably in my field emergency,emergency
म्हारी फसल में तना सड़न बहुत तेजी से फैल रही है,emergency
stem rot emergency fasal gir rahi hai turant upay batao,emergency
मेरी फसल को तुरंत बचाना है क्या करूं,emergency
immediate crop rescue needed please help me now,emergency
म्हारे खेत में सब कुछ खत्म हो गया मदद करो,emergency
everything is lost in my field SOS please help,emergency
fasal barbad ho gayi hai turant koi upay batao bhai,emergency
मेरी फसल मर रही है अभी तुरंत कुछ बताओ,emergency
