000001.wav|01_Disease_Mewari
000002.wav|Pragati AI Rajasthan Dataset - File 1 (Disease - Mewari)
000003.wav|02_Pest_Mewari
000004.wav|Pragati AI Rajasthan Dataset - File 2 (Pest - Mewari)
000005.wav|03_Crop_Mewari
000006.wav|Pragati AI Rajasthan Dataset - File 3 (Crop - Mewari)
000007.wav|04_Soil_Mewari
000008.wav|Pragati AI Rajasthan Dataset - File 4 (Soil - Mewari)
000009.wav|05_Weather_Mewari
000010.wav|Pragati AI Rajasthan Dataset - File 5 (Weather - Mewari)
000011.wav|06_Government_Mewari
000012.wav|Pragati AI Rajasthan Dataset - File 6 (Government - Mewari)
000013.wav|07_Market_Mewari
000014.wav|Pragati AI Rajasthan Dataset - File 7 (Market - Mewari)
000015.wav|08_KVK_Mewari
000017.wav|09_Fertilizer_Mewari
000016.wav|Pragati AI Rajasthan Dataset - File 8 (KVK - Mewari)
000019.wav|10_Seed_Mewari
000018.wav|Pragati AI Rajasthan Dataset - File 9 (Fertilizer - Mewari)
000021.wav|11_FarmDiary_Mewari
000020.wav|Pragati AI Rajasthan Dataset - File 10 (Seed - Mewari)
000023.wav|12_General_Conversation_Mewari
000022.wav|Pragati AI Rajasthan Dataset - File 11 (Farm Diary - Mewari)
000024.wav|Pragati AI Rajasthan Dataset - File 12 (General Conversation - Mewari)
