000001.wav|01_Disease_Marwari
000002.wav|Pragati AI Rajasthan Dataset - File 1 (Disease - Marwari)
000003.wav|रोग पहचान
000004.wav|म्हारी फसल में रोग लाग गयो।
000005.wav|यो कुणसो रोग है?
000006.wav|थूं इ रो पहचान सकै हो?
000007.wav|इ रो कारण के है?
000008.wav|इ रोग घणो खतरनाक है?
000009.wav|इ सारी फसल में फैल सकै है?
000010.wav|इ फफूंद रो रोग है?
000011.wav|इ वायरस रो रोग है?
000012.wav|इ कीड़ा सूं फैलियो है?
000014.wav|लक्षण
000013.wav|अब म्हैं के करूं?
000016.wav|पान पर धब्बा आवे है।
000015.wav|पान पीळा पड़ रिया है।
000017.wav|तणो कळो पड़ गयो।
000018.wav|जड़ सड़ री है।
000019.wav|फसल मुरझा री है।
000020.wav|फूल झड़ रिया है।
000021.wav|फल खराब हो रिया है।
000022.wav|पान मुड़ रिया है।
000023.wav|वाढ रुक गई है।
000024.wav|पूरो पौधो कमजोर लागे है।
000025.wav|जैविक इलाज
000026.wav|जैविक इलाज बतावो।
000027.wav|नीम रो तेल केम काम लेवां?
000028.wav|गोमूत्र रो उपयोग केम करां?
000029.wav|ट्राइकोडर्मा केम डालां?
000030.wav|जैविक घोल कितणी मात्रा में डालां?
000031.wav|फेर छिड़काव करनो पड़सी?
000032.wav|बरसात पाछै के करां?
000033.wav|इ इलाज सुरक्षित है?
000034.wav|कितणा दिन इलाज चालू राखां?
000035.wav|जैविक खेती में इ ठीक है?
000036.wav|रासायनिक इलाज
000037.wav|कूणसी दवाई काम आवसी?
000038.wav|दवाई कितणी मात्रा में डालां?
000039.wav|छिड़काव कद करां?
000040.wav|फेर स्प्रे करनो पड़सी?
000041.wav|दवाई मिलाई सकां?
000042.wav|दवाई पाछै सिंचाई कद करां?
000043.wav|मास्क पहरणो जरूरी है?
000044.wav|दवाई कितणा दिन असर करसी?
000045.wav|इ दवाई बाजरे में चालसी?
000046.wav|इ दवाई उड़द में चालसी?
000047.wav|इ रोग सूं बचाव केम करां?
000048.wav|बीज उपचार जरूरी है?
000049.wav|फसल चक्र अपनावां?
000050.wav|रोगी पौधा हटावां?
000051.wav|खेत साफ राखां?
000052.wav|संतुलित खाद देवां?
000053.wav|समय-समय पर जांच करां?
000054.wav|बराबर सिंचाई करां?
000055.wav|विशेषज्ञ सूं सलाह लेवां?
000056.wav|धन्यवाद।
000057.wav|02_Pest_Marwari
000058.wav|Pragati AI Rajasthan Dataset - File 2 (Pest - Marwari)
000059.wav|कीड़ा पहचान
000060.wav|म्हारी फसल में कीड़ो लाग गयो।
000061.wav|यो कुणसो कीड़ो है?
000062.wav|इ घणो नुकसान करसी?
000063.wav|इ सारी फसल में फैलसी?
000064.wav|इ पान खावै है?
000065.wav|इ जड़ ने नुकसान देवै है?
000066.wav|इ रात ने आवै है?
000067.wav|इ रो इलाज बतावो।
000068.wav|पान में छेद पड़ गया।
000069.wav|पान खाया जावै है.
000070.wav|तणा में सुराख है.
000071.wav|फूल झड़ रिया है.
000072.wav|फल खराब हो रिया है.
000073.wav|कीड़ा पान नीचै बैठो है.
000074.wav|फसल कमजोर लागे है.
000075.wav|वाढ रुक गई है.
000076.wav|झुंड में कीड़ा दिखे है.
000077.wav|पूरो पौधो खराब हो रियो है.
000078.wav|जैविक नियंत्रण
000079.wav|फेरोमोन ट्रैप केम लगावां?
000080.wav|पीळो ट्रैप केम काम करे?
000081.wav|जैविक कीटनाशक कूणसो है?
000082.wav|कितणी मात्रा में छिड़काव करां?
000083.wav|बरसात पाछै फेर स्प्रे करां?
000084.wav|जैविक इलाज पर्याप्त है?
000085.wav|लाभदायक कीड़ा बचावां?
000086.wav|गोमूत्र काम आवसी?
000087.wav|रासायनिक नियंत्रण
000088.wav|दवाई कितणी डालां?
000089.wav|स्प्रे कद करां?
000090.wav|कितणा दिन असर रहसी?
000091.wav|कीड़ा सूं बचाव केम करां?
000092.wav|समय पर जांच करां?
000093.wav|समय पर स्प्रे करां?
000094.wav|जाळ लगावां?
000095.wav|राम राम सा।
000096.wav|03_Crop_Marwari
000097.wav|Pragati AI Rajasthan Dataset - File 3 (Crop - Marwari)
000098.wav|04_Soil_Marwari
000099.wav|Pragati AI Rajasthan Dataset - File 4 (Soil - Marwari)
000100.wav|05_Weather_Marwari
000102.wav|06_Government_Marwari
000101.wav|Pragati AI Rajasthan Dataset - File 5 (Weather - Marwari)
000104.wav|07_Market_Marwari
000103.wav|Pragati AI Rajasthan Dataset - File 6 (Government - Marwari)
000106.wav|08_KVK_Marwari
000105.wav|Pragati AI Rajasthan Dataset - File 7 (Market - Marwari)
000107.wav|Pragati AI Rajasthan Dataset - File 8 (KVK - Marwari)
000108.wav|09_Fertilizer_Marwari
000110.wav|10_Seed_Marwari
000109.wav|Pragati AI Rajasthan Dataset - File 9 (Fertilizer - Marwari)
000111.wav|Pragati AI Rajasthan Dataset - File 10 (Seed - Marwari)
000112.wav|11_FarmDiary_Marwari
000114.wav|12_General_Conversation_Marwari
000113.wav|Pragati AI Rajasthan Dataset - File 11 (Farm Diary - Marwari)
000115.wav|Pragati AI Rajasthan Dataset - File 12 (General Conversation - Marwari)
