000001.wav|01_Disease_Bagri
000002.wav|Pragati AI Rajasthan Dataset - File 1 (Disease - Bagri)
000003.wav|02_Pest_Bagri
000004.wav|Pragati AI Rajasthan Dataset - File 2 (Pest - Bagri)
000005.wav|03_Crop_Bagri
000006.wav|Pragati AI Rajasthan Dataset - File 3 (Crop - Bagri)
000007.wav|04_Soil_Bagri
000008.wav|Pragati AI Rajasthan Dataset - File 4 (Soil - Bagri)
000009.wav|05_Weather_Bagri
000010.wav|Pragati AI Rajasthan Dataset - File 5 (Weather - Bagri)
000011.wav|06_Government_Bagri
000012.wav|Pragati AI Rajasthan Dataset - File 6 (Government - Bagri)
000013.wav|07_Market_Bagri
000015.wav|08_KVK_Bagri
000014.wav|Pragati AI Rajasthan Dataset - File 7 (Market - Bagri)
000017.wav|09_Fertilizer_Bagri
000016.wav|Pragati AI Rajasthan Dataset - File 8 (KVK - Bagri)
000019.wav|10_Seed_Bagri
000018.wav|Pragati AI Rajasthan Dataset - File 9 (Fertilizer - Bagri)
000021.wav|11_FarmDiary_Bagri
000020.wav|Pragati AI Rajasthan Dataset - File 10 (Seed - Bagri)
000023.wav|12_General_Conversation_Bagri
000022.wav|Pragati AI Rajasthan Dataset - File 11 (Farm Diary - Bagri)
000024.wav|Pragati AI Rajasthan Dataset - File 12 (General Conversation - Bagri)
