000001.wav|01_Disease_Hindi
000002.wav|Pragati AI Hindi Dataset - File 1 (Disease)
000003.wav|General Disease Questions
000004.wav|मेरी फसल में रोग लग गया है।
000005.wav|यह कौन सा रोग है?
000006.wav|क्या आप इस रोग की पहचान कर सकते हैं?
000007.wav|क्या यह रोग गंभीर है?
000008.wav|क्या यह पूरे खेत में फैल सकता है?
000009.wav|इसका कारण क्या है?
000010.wav|क्या यह रोग दोबारा आएगा?
000011.wav|क्या फोटो से पहचान संभव है?
000012.wav|क्या यह फफूंद जनित रोग है?
000013.wav|क्या यह वायरस जनित रोग है?
000014.wav|Symptoms
000015.wav|पत्तियों पर पीले धब्बे हैं।
000016.wav|पत्तियाँ सूख रही हैं।
000017.wav|जड़ सड़ रही है।
000018.wav|तना काला पड़ गया है。
000019.wav|पत्तियाँ मुड़ रही हैं।
000020.wav|फल पर धब्बे हैं।
000021.wav|फूल झड़ रहे हैं।
000022.wav|पौधा मुरझा रहा है।
000023.wav|नई पत्तियाँ प्रभावित हैं।
000024.wav|पौधे की वृद्धि रुक गई है।
000025.wav|Organic Solution
000026.wav|जैविक उपचार बताइए।
000027.wav|नीम तेल का उपयोग कैसे करें?
000028.wav|गोमूत्र का उपयोग कैसे करें?
000029.wav|ट्राइकोडर्मा कैसे डालें?
000030.wav|जैविक घोल कितनी मात्रा में डालें?
000031.wav|क्या जैविक उपचार पर्याप्त है?
000032.wav|कितने दिन तक उपचार करें?
000033.wav|बारिश के बाद क्या करें?
000034.wav|क्या दोबारा छिड़काव करें?
000035.wav|क्या यह सुरक्षित उपचार है?
000036.wav|Chemical Solution
000037.wav|कौन सी दवा उपयोग करें?
000038.wav|दवा कितनी मात्रा में डालें?
000039.wav|दवा कब छिड़कें?
000040.wav|क्या दोबारा स्प्रे करना होगा?
000041.wav|क्या दवा मिलाकर उपयोग कर सकते हैं?
000042.wav|क्या मास्क पहनना चाहिए?
000043.wav|क्या दस्ताने पहनना चाहिए?
000044.wav|दवा के बाद सिंचाई कब करें?
000045.wav|क्या यह दवा सभी फसलों में चलेगी?
000046.wav|दवा का असर कितने दिन रहेगा?
000047.wav|Prevention
000048.wav|रोग से बचाव कैसे करें?
000049.wav|बीज उपचार कैसे करें?
000050.wav|स्वस्थ बीज कैसे चुनें?
000051.wav|फसल चक्र क्यों जरूरी है?
000052.wav|खेत की सफाई कैसे रखें?
000053.wav|संतुलित खाद क्यों दें?
000054.wav|सिंचाई सही समय पर करें।
000055.wav|रोगग्रस्त पौधे हटाएँ।
